Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,,,
0.992,,,,,,,,Date,Actual Height,Forecasted Height
0.792,0.790089598,0.00602437,0.778282051,0.801897146,0.001910402,,,6/9/2018,1.982,1.77456923
0.792,0.793090596,0.00602437,0.781283048,0.804898143,-0.001090596,,,6/9/2018,1.982,1.774884724
0.792,0.792375316,0.00602437,0.780567769,0.804182864,-0.000375316,,,6/9/2018,1.9795,1.775196027
0.782,0.791602708,0.00602437,0.779795161,0.803410256,-0.009602708,,,6/9/2018,1.972,1.775503139
0.782,0.774744735,0.00602437,0.762937187,0.786552282,0.007255265,,,6/9/2018,1.972,1.775806056
0.782,0.780201106,0.00602437,0.768393559,0.792008654,0.001798894,,,6/9/2018,1.972,1.776104778
0.782,0.782918965,0.00602437,0.771111417,0.794726512,-0.000918965,,,6/9/2018,1.972,1.776399302
0.782,0.78292168,0.00602437,0.771114133,0.794729228,-0.00092168,,,6/9/2018,1.9695,1.776689626
0.782,0.781698667,0.00602437,0.76989112,0.793506215,0.000301333,,,6/9/2018,1.967,1.77697575
0.772,0.781317323,0.00602437,0.769509776,0.793124871,-0.009317323,,,6/9/2018,1.962,1.777257671
0.772,0.765277705,0.00602437,0.753470157,0.777085252,0.006722295,,,6/9/2018,1.962,1.777535388
0.772,0.769958325,0.00602437,0.758150778,0.781765873,0.002041675,,,6/9/2018,1.962,1.7778089
0.772,0.773185407,0.00602437,0.761377859,0.784992954,-0.001185407,,,6/10/2018,1.9545,1.778078205
0.772,0.772331546,0.00602437,0.760523998,0.784139093,-0.000331545,,,6/10/2018,1.952,1.778343301
0.772,0.771419926,0.00602437,0.759612379,0.783227474,0.000580074,,,6/10/2018,1.952,1.778604188
0.762,0.772064636,0.00602437,0.760257089,0.783872183,-0.010064636,,,6/10/2018,1.947,1.778860863
0.762,0.7554676,0.00602437,0.743660053,0.767275148,0.0065324,,,6/10/2018,1.942,1.779113327
0.762,0.760151433,0.00602437,0.748343886,0.771958981,0.001848567,,,6/10/2018,1.942,1.779361576
0.762,0.762583938,0.00602437,0.750776391,0.774391485,-0.000583938,,,6/10/2018,1.9345,1.779605611
0.762,0.762171346,0.00602437,0.750363799,0.773978893,-0.000171346,,,6/10/2018,1.932,1.77984543
0.762,0.761622097,0.00602437,0.749814549,0.773429644,0.000377903,,,6/10/2018,1.932,1.780081031
0.752,0.762209691,0.00602437,0.750402144,0.774017239,-0.010209691,,,6/10/2018,1.9245,1.780312415
0.752,0.745498283,0.00602437,0.733690736,0.757305831,0.006501717,,,6/10/2018,1.922,1.780539579
0.752,0.750117184,0.00602437,0.738309636,0.761924731,0.001882816,,,6/10/2018,1.922,1.780762522
0.752,0.752588057,0.00602437,0.74078051,0.764395605,-0.000588057,,,6/10/2018,1.917,1.780981244
0.752,0.752138318,0.00602437,0.74033077,0.763945865,-0.000138318,,,6/10/2018,1.912,1.781195744
0.752,0.751572256,0.00602437,0.739764708,0.763379803,0.000427744,,,6/10/2018,1.912,1.78140602
0.752,0.75215947,0.00602437,0.740351922,0.763967017,-0.00015947,,,6/10/2018,1.9045,1.781612072
0.742,0.752320151,0.00602437,0.740512603,0.764127698,-0.010320151,,,6/10/2018,1.902,1.781813898
0.742,0.735467886,0.00602437,0.723660338,0.747275433,0.006532115,,,6/10/2018,1.897,1.782011499
0.742,0.739744969,0.00602437,0.727937421,0.751552516,0.002255031,,,6/10/2018,1.8945,1.782204873
0.742,0.742424927,0.00602437,0.73061738,0.754232475,-0.000424927,,,6/10/2018,1.892,1.782394019
0.742,0.742106234,0.00602437,0.730298687,0.753913782,-0.000106234,,,6/10/2018,1.882,1.782578937
0.742,0.742126127,0.00602437,0.73031858,0.753933675,-0.000126127,,,6/10/2018,1.882,1.782759625
0.742,0.742183803,0.00602437,0.730376255,0.75399135,-0.000183803,,,6/10/2018,1.8795,1.782936084
0.732,0.742547579,0.00602437,0.730740032,0.754355127,-0.010547579,,,6/10/2018,1.872,1.783108313
0.732,0.724933545,0.00602437,0.713125998,0.736741093,0.007066455,,,6/11/2018,1.872,1.78327631
0.732,0.729564164,0.00602437,0.717756616,0.741371711,0.002435836,,,6/11/2018,1.867,1.783440076
0.732,0.732582334,0.00602437,0.720774787,0.744389882,-0.000582334,,,6/11/2018,1.862,1.78359961
0.732,0.732244881,0.00602437,0.720437333,0.744052428,-0.000244881,,,6/11/2018,1.8595,1.783754911
0.732,0.732170018,0.00602437,0.720362471,0.743977566,-0.000170018,,,6/11/2018,1.852,1.783905979
0.732,0.732213412,0.00602437,0.720405865,0.74402096,-0.000213412,,,6/11/2018,1.852,1.784052813
0.722,0.732546701,0.00602437,0.720739154,0.744354249,-0.010546701,,,6/11/2018,1.8445,1.784195413
0.722,0.714879565,0.00602437,0.703072018,0.726687113,0.007120435,,,6/11/2018,1.842,1.784333779
0.722,0.719481204,0.00602437,0.707673656,0.731288751,0.002518796,,,6/11/2018,1.8345,1.78446791
0.722,0.722534551,0.00602437,0.710727004,0.734342099,-0.000534551,,,6/11/2018,1.832,1.784597806
0.722,0.722236661,0.00602437,0.710429114,0.734044209,-0.000236661,,,6/11/2018,1.8295,1.784723467
0.722,0.722224967,0.00602437,0.710417419,0.734032514,-0.000224967,,,6/11/2018,1.822,1.784844892
0.712,0.722251385,0.00602437,0.710443838,0.734058933,-0.010251385,,,6/11/2018,1.822,1.784962081
0.712,0.705706198,0.00602437,0.693898651,0.717513746,0.006293802,,,6/11/2018,1.8145,1.785075034
0.712,0.709546104,0.00602437,0.697738557,0.721353652,0.002453896,,,6/11/2018,1.812,1.785183752
0.712,0.712330961,0.00602437,0.700523414,0.724138509,-0.000330961,,,6/11/2018,1.8045,1.785288233
0.712,0.71224181,0.00602437,0.700434262,0.724049357,-0.00024181,,,6/11/2018,1.802,1.785388478
0.712,0.711664894,0.00602437,0.699857347,0.723472442,0.000335106,,,6/11/2018,1.7945,1.785484486
0.712,0.712227385,0.00602437,0.700419838,0.724034933,-0.000227385,,,6/11/2018,1.792,1.785576258
0.702,0.712386239,0.00602437,0.700578691,0.724193786,-0.010386239,,,6/11/2018,1.7845,1.785663794
0.702,0.695479816,0.00602437,0.683672268,0.707287363,0.006520184,,,6/11/2018,1.782,1.785747093
0.702,0.699650633,0.00602437,0.687843086,0.711458181,0.002349367,,,6/11/2018,1.772,1.785826157
0.702,0.702289866,0.00602437,0.690482318,0.714097413,-0.000289866,,,6/11/2018,1.772,1.785900984
0.702,0.702035067,0.00602437,0.69022752,0.713842615,-0.000035067,,,6/11/2018,1.7645,1.785971575
0.702,0.702116261,0.00602437,0.690308714,0.713923808,-0.000116261,,,6/12/2018,1.762,1.786037931
0.702,0.702242366,0.00602437,0.690434819,0.714049914,-0.000242366,,,6/12/2018,1.7545,1.786100051
0.702,0.70258522,0.00602437,0.690777673,0.714392768,-0.00058522,,,6/12/2018,1.752,1.786157936
0.702,0.701775325,0.00602437,0.689967777,0.713582872,0.000224675,,,6/12/2018,1.747,1.786211587
0.702,0.701647987,0.00602437,0.68984044,0.713455535,0.000352013,,,6/12/2018,1.742,1.786261002
0.692,0.701772111,0.00602437,0.689964564,0.713579659,-0.009772111,,,6/12/2018,1.7395,1.786306184
0.692,0.684902571,0.00602437,0.673095024,0.696710119,0.007097429,,,6/12/2018,1.732,1.786347131
0.692,0.690138824,0.00602437,0.678331276,0.701946371,0.001861177,,,6/12/2018,1.727,1.786383845
0.692,0.693089113,0.00602437,0.681281566,0.704896661,-0.001089113,,,6/12/2018,1.722,1.786416326
0.692,0.693006896,0.00602437,0.681199349,0.704814444,-0.001006896,,,6/12/2018,1.7195,1.786444575
0.692,0.69181523,0.00602437,0.680007682,0.703622777,0.00018477,,,6/12/2018,1.712,1.786468592
0.682,0.691571233,0.00602437,0.679763686,0.703378781,-0.009571233,,,6/12/2018,1.712,1.786488377
0.682,0.675037849,0.00602437,0.663230301,0.686845396,0.006962151,,,6/12/2018,1.702,1.786503932
0.682,0.679707898,0.00602437,0.667900351,0.691515446,0.002292102,,,6/12/2018,1.6995,1.786515257
0.672,0.682839745,0.00602437,0.671032198,0.694647293,-0.010839745,,,6/12/2018,1.6945,1.786522352
0.672,0.665720331,0.00602437,0.653912784,0.677527879,0.006279669,,,6/12/2018,1.692,1.786525219
0.672,0.669625891,0.00602437,0.657818343,0.681433438,0.002374109,,,6/12/2018,1.6845,1.786523857
0.672,0.672858118,0.00602437,0.661050571,0.684665666,-0.000858118,,,6/12/2018,1.682,1.786518268
0.672,0.67262037,0.00602437,0.660812823,0.684427918,-0.00062037,,,6/12/2018,1.677,1.786508453
0.672,0.671984536,0.00602437,0.660176989,0.683792084,1.54637E-05,,,6/12/2018,1.672,1.786494412
0.672,0.671558585,0.00602437,0.659751038,0.683366133,0.000441415,,,6/12/2018,1.667,1.786476147
0.672,0.671598888,0.00602437,0.65979134,0.683406435,0.000401112,,,6/12/2018,1.662,1.786453658
0.672,0.671467939,0.00602437,0.659660391,0.683275486,0.000532061,,,6/12/2018,1.662,1.786426945
0.672,0.672229754,0.00602437,0.660422206,0.684037301,-0.000229754,,,6/12/2018,1.6545,1.786396011
0.662,0.672219849,0.00602437,0.660412301,0.684027396,-0.010219848,,,,,
0.662,0.655304964,0.00602437,0.643497417,0.667112511,0.006695036,,,,,
0.662,0.659875372,0.00602437,0.648067824,0.671682919,0.002124628,,,,,
0.662,0.662602884,0.00602437,0.650795337,0.674410432,-0.000602884,,,,,
0.662,0.662732922,0.00602437,0.650925375,0.674540469,-0.000732922,,,,,
0.662,0.661789217,0.00602437,0.649981669,0.673596764,0.000210783,,,,,
0.662,0.661696061,0.00602437,0.649888513,0.673503608,0.000303939,,,,,
0.662,0.662079621,0.00602437,0.650272073,0.673887168,-0.00007962,,,,,
0.662,0.662023967,0.00602437,0.65021642,0.673831515,-0.000023967,,,,,
0.662,0.662128924,0.00602437,0.650321377,0.673936472,-0.000128924,,,,,
0.652,0.661998979,0.00602437,0.650191431,0.673806526,-0.009998979,,,,,
0.652,0.644889718,0.00602437,0.63308217,0.656697265,0.007110282,,,,,
0.652,0.650005738,0.00602437,0.638198191,0.661813286,0.001994262,,,,,
0.652,0.652926358,0.00602437,0.64111881,0.664733905,-0.000926358,,,,,
0.652,0.652861582,0.00602437,0.641054034,0.664669129,-0.000861581,,,,,
0.652,0.651726159,0.00602437,0.639918611,0.663533706,0.000273841,,,,,
0.652,0.651584329,0.00602437,0.639776782,0.663391877,0.000415671,,,,,
0.652,0.651949512,0.00602437,0.640141965,0.66375706,5.04879E-05,,,,,
0.652,0.651916003,0.00602437,0.640108455,0.66372355,8.39972E-05,,,,,
0.652,0.652068505,0.00602437,0.640260958,0.663876053,-0.000068505,,,,,
0.652,0.652009665,0.00602437,0.640202117,0.663817212,-9.66E-06,,,,,
0.652,0.651790445,0.00602437,0.639982897,0.663597992,0.000209556,,,,,
0.652,0.652201877,0.00602437,0.640394329,0.664009424,-0.000201877,,,,,
0.652,0.652165509,0.00602437,0.640357962,0.663973057,-0.000165509,,,,,
0.652,0.652333231,0.00602437,0.640525683,0.664140778,-0.000333231,,,,,
0.652,0.651772584,0.00602437,0.639965037,0.663580132,0.000227416,,,,,
0.652,0.651683116,0.00602437,0.639875568,0.663490663,0.000316884,,,,,
0.652,0.651960288,0.00602437,0.640152741,0.663767836,3.97119E-05,,,,,
0.652,0.652156966,0.00602437,0.640349419,0.663964514,-0.000156966,,,,,
0.652,0.652177267,0.00602437,0.640369719,0.663984814,-0.000177267,,,,,
0.652,0.652127216,0.00602437,0.640319669,0.663934764,-0.000127216,,,,,
0.652,0.65209493,0.00602437,0.640287382,0.663902477,-0.00009493,,,,,
0.652,0.652052687,0.00602437,0.640245139,0.663860234,-0.000052687,,,,,
0.652,0.652013596,0.00602437,0.640206048,0.663821143,-0.000013596,,,,,
0.652,0.651997344,0.00602437,0.640189797,0.663804892,2.66E-06,,,,,
0.652,0.651990772,0.00602437,0.640183224,0.663798319,9.23E-06,,,,,
0.652,0.652032343,0.00602437,0.640224796,0.663839891,-0.000032343,,,,,
0.652,0.652057083,0.00602437,0.640249535,0.66386463,-0.000057083,,,,,
0.652,0.652056585,0.00602437,0.640249037,0.663864132,-0.000056585,,,,,
0.652,0.652022367,0.00602437,0.64021482,0.663829915,-0.000022367,,,,,
0.652,0.652000457,0.00602437,0.640192909,0.663808004,-4.57E-07,,,,,
0.652,0.652010764,0.00602437,0.640203216,0.663818311,-0.000010764,,,,,
0.652,0.652030241,0.00602437,0.640222694,0.663837789,-0.000030241,,,,,
0.652,0.652038505,0.00602437,0.640230957,0.663846052,-0.000038505,,,,,
0.652,0.652033383,0.00602437,0.640225836,0.663840931,-0.000033383,,,,,
0.672,0.652023499,0.00602437,0.640215951,0.663831046,0.019976501,,,,,
0.712,0.685705522,0.00602437,0.673897975,0.69751307,0.026294478,,,,,
0.742,0.74366988,0.00602437,0.731862333,0.755477428,-0.00166988,,,,,
0.782,0.769605024,0.00602437,0.757797476,0.781412571,0.012394976,,,,,
