Date,Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,Actual Height,Forecasted Height
1/5/2016,0.742,0.742115619,0.006024364,0.730308084,0.753923155,-0.000115619,,1/16/2017,2.382,2.420962841
1/5/2016,0.742,0.742135514,0.006024364,0.730327979,0.75394305,-0.000135514,,1/16/2017,2.372,2.420403493
1/5/2016,0.742,0.742193167,0.006024364,0.730385631,0.754000702,-0.000193167,,1/16/2017,2.372,2.419840311
1/6/2016,0.732,0.742556967,0.006024364,0.730749432,0.754364503,-0.010556967,,1/17/2017,2.372,2.419273299
1/6/2016,0.732,0.724942926,0.006024364,0.713135391,0.736750462,0.007057074,,1/17/2017,2.372,2.418702463
1/6/2016,0.732,0.729573556,0.006024364,0.717766021,0.741381092,0.002426444,,1/17/2017,2.372,2.418127809
1/6/2016,0.732,0.73259173,0.006024364,0.720784195,0.744399266,-0.00059173,,1/17/2017,2.372,2.417549342
1/6/2016,0.732,0.732254295,0.006024364,0.72044676,0.744061831,-0.000254295,,1/17/2017,2.372,2.416967068
1/6/2016,0.732,0.732179423,0.006024364,0.720371887,0.743986958,-0.000179423,,1/17/2017,2.372,2.416380991
1/6/2016,0.732,0.7322228,0.006024364,0.720415265,0.744030336,-0.0002228,,1/17/2017,2.362,2.415791119
1/6/2016,0.722,0.732556119,0.006024364,0.720748583,0.744363654,-0.010556119,,1/17/2017,2.362,2.415197456
1/6/2016,0.722,0.714888977,0.006024364,0.703081442,0.726696513,0.007111023,,1/17/2017,2.362,2.414600007
1/6/2016,0.722,0.719490627,0.006024364,0.707683092,0.731298163,0.002509373,,1/17/2017,2.362,2.41399878
1/6/2016,0.722,0.722543976,0.006024364,0.71073644,0.734351511,-0.000543976,,1/17/2017,2.362,2.413393779
1/6/2016,0.722,0.7222461,0.006024364,0.710438565,0.734053636,-0.0002461,,1/17/2017,2.352,2.412785009
1/6/2016,0.722,0.722234395,0.006024364,0.710426859,0.73404193,-0.000234395,,1/17/2017,2.352,2.412172478
1/6/2016,0.712,0.722260794,0.006024364,0.710453258,0.734068329,-0.010260794,,1/17/2017,2.352,2.41155619
1/6/2016,0.712,0.705715661,0.006024364,0.693908125,0.717523196,0.006284339,,1/17/2017,2.352,2.410936152
1/6/2016,0.712,0.709555524,0.006024364,0.697747989,0.721363059,0.002444476,,1/17/2017,2.342,2.410312369
1/6/2016,0.712,0.712340405,0.006024364,0.70053287,0.724147941,-0.000340405,,1/17/2017,2.342,2.409684847
1/6/2016,0.712,0.71225128,0.006024364,0.700443744,0.724058815,-0.000251279,,1/17/2017,2.342,2.409053592
1/6/2016,0.712,0.71167435,0.006024364,0.699866814,0.723481885,0.000325651,,1/17/2017,2.342,2.40841861
1/6/2016,0.712,0.712236832,0.006024364,0.700429296,0.724044367,-0.000236832,,1/17/2017,2.332,2.407779907
1/6/2016,0.702,0.712395666,0.006024364,0.700588131,0.724203202,-0.010395666,,1/17/2017,2.332,2.40713749
1/6/2016,0.702,0.695489296,0.006024364,0.68368176,0.707296831,0.006510704,,1/17/2017,2.332,2.406491363
1/6/2016,0.702,0.699660087,0.006024364,0.687852552,0.711467623,0.002339913,,1/17/2017,2.332,2.405841534
1/6/2016,0.702,0.702299316,0.006024364,0.690491781,0.714106852,-0.000299316,,1/17/2017,2.322,2.405188008
1/7/2016,0.702,0.702044557,0.006024364,0.690237021,0.713852092,-0.000044557,,1/18/2017,2.322,2.404530791
1/7/2016,0.702,0.702125745,0.006024364,0.690318209,0.71393328,-0.000125744,,1/18/2017,2.322,2.40386989
1/7/2016,0.702,0.702251821,0.006024364,0.690444285,0.714059356,-0.000251821,,1/18/2017,2.322,2.40320531
1/7/2016,0.702,0.702594691,0.006024364,0.690787156,0.714402227,-0.000594691,,1/18/2017,2.322,2.402537059
1/7/2016,0.702,0.701784769,0.006024364,0.689977233,0.713592304,0.000215232,,1/18/2017,2.312,2.401865142
1/7/2016,0.702,0.701657461,0.006024364,0.689849925,0.713464996,0.000342539,,1/18/2017,2.312,2.401189566
1/7/2016,0.692,0.701781599,0.006024364,0.689974064,0.713589135,-0.009781599,,1/18/2017,2.312,2.400510336
1/7/2016,0.692,0.684912083,0.006024364,0.673104547,0.696719618,0.007087917,,1/18/2017,2.312,2.39982746
1/7/2016,0.692,0.690148311,0.006024364,0.678340775,0.701955846,0.001851689,,1/18/2017,2.312,2.399140943
1/7/2016,0.692,0.693098572,0.006024364,0.681291037,0.704906108,-0.001098572,,1/18/2017,2.312,2.398450792
1/7/2016,0.692,0.693016397,0.006024364,0.681208861,0.704823932,-0.001016397,,1/18/2017,2.312,2.397757014
1/7/2016,0.692,0.691824696,0.006024364,0.68001716,0.703632231,0.000175305,,1/18/2017,2.312,2.397059615
1/7/2016,0.682,0.691580711,0.006024364,0.679773176,0.703388246,-0.009580711,,1/18/2017,2.302,2.396358601
1/7/2016,0.682,0.675047372,0.006024364,0.663239836,0.686854907,0.006952629,,1/18/2017,2.302,2.39565398
1/7/2016,0.682,0.679717401,0.006024364,0.667909865,0.691524936,0.002282599,,1/18/2017,2.302,2.394945757
1/7/2016,0.672,0.68284924,0.006024364,0.671041705,0.694656776,-0.01084924,,1/18/2017,2.302,2.394233939
1/7/2016,0.672,0.665729839,0.006024364,0.653922303,0.677537374,0.006270161,,1/18/2017,2.302,2.393518533
1/7/2016,0.672,0.669635373,0.006024364,0.657827838,0.681442909,0.002364627,,1/18/2017,2.302,2.392799545
1/7/2016,0.672,0.672867604,0.006024364,0.661060069,0.68467514,-0.000867604,,1/18/2017,2.292,2.392076983
1/7/2016,0.672,0.672629873,0.006024364,0.660822338,0.684437408,-0.000629873,,1/18/2017,2.292,2.391350852
1/7/2016,0.672,0.67199406,0.006024364,0.660186524,0.683801595,5.94E-06,,1/18/2017,2.292,2.39062116
1/7/2016,0.672,0.671568085,0.006024364,0.65976055,0.683375621,0.000431915,,1/18/2017,2.292,2.389887914
1/7/2016,0.672,0.671608376,0.006024364,0.659800841,0.683415912,0.000391624,,1/18/2017,2.282,2.38915112
1/7/2016,0.672,0.671477433,0.006024364,0.659669898,0.683284969,0.000522567,,1/18/2017,2.282,2.388410785
1/8/2016,0.672,0.672239266,0.006024364,0.660431731,0.684046802,-0.000239266,,,,
1/8/2016,0.662,0.672229326,0.006024364,0.660421791,0.684036862,-0.010229326,,,,
1/8/2016,0.662,0.655314489,0.006024364,0.643506954,0.667122025,0.006685511,,,,
1/8/2016,0.662,0.659884871,0.006024364,0.648077335,0.671692406,0.002115129,,,,
1/8/2016,0.662,0.662612381,0.006024364,0.650804845,0.674419916,-0.000612381,,,,
1/8/2016,0.662,0.662742479,0.006024364,0.650934943,0.674550014,-0.000742479,,,,
1/8/2016,0.662,0.661798725,0.006024364,0.649991189,0.67360626,0.000201276,,,,
1/8/2016,0.662,0.661705552,0.006024364,0.649898016,0.673513087,0.000294448,,,,
